"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1486","Apple iPhone &amp; samsung Factory Unlock Code servce. 100% Best Price Guarantee Codes Sent to your email unlockfusion unlocking","2017-12-15 19:30:12","FALSE","0","0","2","Apple Iphone","New York","USA",TRUE
"1487",".@Apple @AppleSupport: If I were in an emergency, my ability to make a call from my iPhone would be delayed by sev  ","2017-12-15 19:29:46","FALSE","0","1","-2","Apple Iphone","New York","USA",FALSE
"1488","Finisar shares jump following surprise $390M award from Apple  ","2017-12-15 19:27:20","FALSE","0","1","1","Apple Iphone","New York","USA",FALSE
"1489","DJ Rasheed  Fridays 9pmEST - FFTG Radio 
 ","2017-12-15 19:20:49","FALSE","0","0","0","Apple Iphone","New York","USA",TRUE
"1490","Thanks  for the follow! Check Out Our unlockcode icloud for apple iphone samsung LG Unlock  ","2017-12-15 19:11:29","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1491","RT @TheStreet: While next year's iPhones might not push the envelope technology-wise as much as the iPhone X, the launches could leave Appl","2017-12-15 19:09:22","TRUE","3","0","0","Apple Iphone","New York","USA",TRUE
"1492","Nothing works on my iPhone, maybe new trick to force people to upgrade, I thought my phone was broken, than my wife  ","2017-12-15 19:07:48","FALSE","0","0","-1","Apple Iphone","New York","USA",FALSE
"1493","RT @SaveTibetOrg: New DalaiLama app doesn't appear in the @Apple Store in China:
 ","2017-12-15 19:06:34","TRUE","9","0","0","Apple Iphone","New York","USA",TRUE
"1494","@JohnLegere Do you mean a phone that actually works because Ill gladly follow for a chance to win a phone. My iPho  ","2017-12-15 19:05:21","FALSE","0","0","3","Apple Iphone","New York","USA",FALSE
"1495","While next year's iPhones might not push the envelope technology-wise as much as the iPhone X, the launches could l  ","2017-12-15 18:59:07","FALSE","3","1","0","Apple Iphone","New York","USA",TRUE
"1496","Court rejects US bid to intervene in Apple's appeal of EU tax ruling  ","2017-12-15 18:55:25","FALSE","0","0","0","Apple Iphone","New York","USA",FALSE
"1497","Big FF shouts to @Mermelman  @diaz_14MG @tomas_villegas @Qwazyd0gg @mr_zapat05 @GeekyNerdDad @geraldcyril for RTin  ","2017-12-15 18:54:48","FALSE","0","2","0","Apple Iphone","New York","USA",FALSE
"1498","RT @thechrisbarron: Dear Apple,
The new iOS has screwed up my iPhone 6. If you think Im going to buy another iPhone to fix this, you are v","2017-12-15 18:53:00","TRUE","44","0","-1","Apple Iphone","New York","USA",TRUE
"1499","P Goods Feat_ Briggy Benz - Gunsmoke &amp; Marijuana  (Prod_ by @Chuck_Kennedy12)
 ","2017-12-15 18:47:59","FALSE","0","0","1","Apple Iphone","New York","USA",FALSE
"1500","Not sure if I should update my @Apple phone... with every update my phone is in an even worse situation than before  ","2017-12-15 18:47:22","FALSE","0","0","-1","Apple Iphone","New York","USA",FALSE
"1501","The iPhone Xs $1,000 Price Tag Is Actually a Good Thing  ","2017-12-15 18:46:53","FALSE","0","1","1","Apple Iphone","New York","USA",FALSE
