"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"553","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:10:52","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"554","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:09:49","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"555","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:08:34","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"556","@ABREG_1 @Apple can apple send me an iPhone X?","2017-12-16 21:08:14","FALSE","0","1","0","Apple Iphone","Austin","USA",FALSE
"557","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 21:03:22","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"558","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 21:00:45","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"559","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:59:59","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"560","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 20:59:46","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"561","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:59:22","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"562","Apple to Invest $390 Million in Finisar, US Maker of iPhone X TrueDepth Camera Lasers","2017-12-16 20:57:46","FALSE","0","0","0","Apple Iphone","Austin","USA",TRUE
"563","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:56:35","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"564","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:55:35","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"565","All the features Im still getting used to on the iPhone X  ","2017-12-16 20:55:09","FALSE","0","0","0","Apple Iphone","Austin","USA",TRUE
"566","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:54:34","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"567","RT @ABREG_1: Thanks @Apple love my new iPhone X!","2017-12-16 20:53:50","TRUE","33","0","1","Apple Iphone","Austin","USA",TRUE
"568","Thanks @Apple love my new iPhone X!","2017-12-16 20:53:39","FALSE","33","1012","1","Apple Iphone","Austin","USA",FALSE
"569","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 20:51:37","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"570","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 20:48:10","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"571","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 20:42:38","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"572","RT @nathangitter: Just released Rainbrow, an iPhone X game you control with your eyebrows!  It uses ARKit and the new TrueDepth camera s","2017-12-16 20:40:20","TRUE","474","0","0","Apple Iphone","Austin","USA",TRUE
"573","Apple watches &amp; IPhone X in stock! HMU as well as 20% off Beats Powerbeats Wireless and Beats X 50% off HMU!! tmobile","2017-12-16 20:39:18","FALSE","0","0","1","Apple Iphone","Austin","USA",FALSE
