"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1423","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:55:45","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1424","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:52:10","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1425","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:47:32","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1426","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-12 02:47:26","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1427","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:41:02","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1428","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-12 02:36:28","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1429","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:33:45","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1430","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:29:10","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1431","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:23:15","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1432","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:19:15","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1433","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:17:53","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1434","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:16:07","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1435","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:11:36","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1436","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:10:14","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1437","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 02:02:33","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1438","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-12 01:53:44","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1439","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:52:13","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1440","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:49:54","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1441","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:47:37","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1442","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:47:23","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1443","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:46:40","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1444","RT @simplydarrling: Need some ideas for Christmas gifts? @BestBuy offers lots of @sprint phone plans that help you stretch your dollars fur","2017-12-12 01:41:42","TRUE","22","0","0","Samsung Galaxy","Seattle","USA",TRUE
"1445","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:17:36","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1446","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:16:33","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1447","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:14:31","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1448","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 01:00:55","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1449","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:56:45","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1450","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:56:23","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1451","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-12 00:54:30","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1452","RT @ehesketh: Samsung Galaxy deals are here! Save $300 now on a Note8, S8 or S8+ with qualified activation @BestBuy  ","2017-12-12 00:42:57","TRUE","49","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1453","RT @born2impress: Ad: Keep your family connected this holidays -With @Sprint and @BestBuy , you can afford to give your whole family the la","2017-12-12 00:40:25","TRUE","324","0","1","Samsung Galaxy","Seattle","USA",TRUE
"1454","Now you can afford to give your whole family the latest smartphone with @Sprint at @BestBuy! (The gift of awesome g  ","2017-12-12 00:39:41","FALSE","0","0","2","Samsung Galaxy","Seattle","USA",FALSE
